.thisRepN,.thisTrialN,.thisN,.thisIndex,key,participant,session,date,expName,psychopyVersion,
0,0,0,0,['space'],Nion,001,2021_Jun_27_1152,myexperiment,2021.1.4,
0,1,1,1,['space'],Nion,001,2021_Jun_27_1152,myexperiment,2021.1.4,
0,2,2,2,['space'],Nion,001,2021_Jun_27_1152,myexperiment,2021.1.4,
0,3,3,3,['s'],Nion,001,2021_Jun_27_1152,myexperiment,2021.1.4,
0,4,4,4,['l'],Nion,001,2021_Jun_27_1152,myexperiment,2021.1.4,
